a52dec 0.7.4-11
aalib 1.4rc5-14
accounts-qml-module 0.7-4
accountsservice 0.6.55-3
acl 2.3.1-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 40.1.1-1
alsa-card-profiles 1:0.3.31-1
alsa-lib 1.2.5.1-3
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.5.1-1
android-tools 31.0.0-4
android-udev 20210501-1
aom 3.1.1-1
appstream 0.14.4-1
appstream-qt 0.14.4-1
archlinux-keyring 20210616-1
argon2 20190702-3
ark 21.04.3-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.40.3-1
atk 2.36.0-1
atkmm 2.28.2-2
attica 5.84.0-1
attr 2.5.1-1
audiofile 0.3.6-6
audit 3.0.2-1
autoconf 2.71-1
automake 1.16.3-1
avahi 0.8+20+gd1e71b3-1
baloo 5.84.0-1
baloo-widgets 21.04.3-1
base 2-2
bash 5.1.008-1
bat 0.18.2-1
binutils 2.36.1-3
bluedevil 1:5.22.3-1
bluez 5.60-1
bluez-libs 5.60-1
bluez-qt 5.84.0-1
bluez-utils 5.60-1
bolt 0.9.1-1
boost-libs 1.76.0-1
bpytop 1.0.67-1
breeze 5.22.3-1
breeze-gtk 5.22.3-1
breeze-icons 5.84.0-1
brotli 1.0.9-4
btrfs-progs 5.12.1-1
bzip2 1.0.8-4
ca-certificates 20210603-1
ca-certificates-mozilla 3.68-1
ca-certificates-utils 20210603-1
cairo 1.17.4-5
cairomm 1.14.3-2
cantarell-fonts 1:0.301-1
cdparanoia 10.2-8
cfitsio 1:3.49-1
chromaprint 1.5.0-3
cifs-utils 6.13-2
cmark 0.30.0-2
cmatrix 2.0-2
convertlit 1.8-10
coreutils 8.32-1
cronie 1.5.7-2
cryptsetup 2.3.6-1
curl 7.77.0-1
dav1d 0.9.0-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.112-1
dconf 0.40.0-1
desktop-file-utils 0.26-1
device-mapper 2.03.12-1
diffutils 3.7-3
discount 2.2.7-1
djvulibre 3.5.28-3
dmraid 1.0.0.rc16.3-13
dnssec-anchors 20190629-3
dolphin 21.04.3-1
dolphin-plugins 21.04.3-1
dosfstools 4.2-1
double-conversion 3.1.5-2
drkonqi 5.22.3-1
e2fsprogs 1.46.2-1
ebook-tools 0.2.2-7
editorconfig-core-c 0.12.5-1
efibootmgr 17-2
efivar 37-4
elfutils 0.185-1
exa 0.10.1-1
exiv2 0.27.4-2
expac 10-3
